food_id,Menu,ingredient_id,Amount_g,Ingredient,품목코드,단가(원/g),총 가격(원)
B050100040,공심채된장국,R106-191040001-0000,3,대파,1000007015,3.38,10.14
C100200089,떡갈비,R118-001030000-0000,8,국간장,1000453770,1.347692308,10.78153846
C100200089,떡갈비,R106-191040001-0000,5,대파(다진것),1000007015,3.38,16.9
C100200089,떡갈비,R106-053002201-0000,4,마늘(다진것),1000006845,5.68,22.72
C100200089,떡갈비,R103-011020000-0000,4,백설탕,1000612561,1.438666667,5.754666667
C100200089,떡갈비,R318-020030000-0000,1,소금,1000736517,1.43,1.43
C100200089,떡갈비,R209-027078101-0000,150,쇠고기(갈비살),1000005089,24.53,3679.5
C100200089,떡갈비,R114-020000000-0000,10,참기름,1000697992,10.10555556,101.0555556
C150200115,상추무침,R103-011020000-0000,0.5,백설탕,1000612561,1.438666667,0.719333333
C150200115,상추무침,R105-026020058-0000,0.5,깨소금(가루),1000736517,1.43,0.715
C150200115,상추무침,R114-020000000-0000,1,참기름,1000697992,10.10555556,10.10555556
C150200115,상추무침,R118-001030000-0000,1,간장(재래),1000453770,1.347692308,1.347692308
C150200115,상추무침,R118-007000006-0000,2,고춧가루,1000020371,5.514705882,11.02941176
C150200115,상추무침,R106-053002201-0000,2,마늘,1000006845,5.68,11.36
C150200115,상추무침,R106-191040001-0000,3,대파,1000007015,3.38,10.14
C150200115,상추무침,R106-041007601-0000,5,당근,1000006481,1.54,7.7
C150200115,상추무침,R106-132000001-0000,10,양파,1000006975,2.86,28.6
C150200115,상추무침,R106-101033601-0000,15,상추,1000007693,4.69,70.35
C120900001,김자반,R112-813033902-0000,8,김(말린것),1000712372,78.5,628
C120900001,김자반,R103-011020000-0000,3,백설탕,1000612561,1.438666667,4.316
C120900001,김자반,R318-020030000-0000,0.25,소금,1000736517,1.43,0.3575
C120900001,김자반,R105-026020058-0000,1,참깨,1000736517,1.43,1.43
C120900001,김자반,R114-026000000-0000,5,포도씨유,1000704684,7.96,39.8
C170100001,배추김치,R106-004000001-0000,1,갓,1000006752,4.6,4.6
C170100001,배추김치,R118-007000006-0000,2,고춧가루,1000020371,5.514705882,11.02941176
C170100001,배추김치,R318-020000000-0000,0.3,굵은소금,1000736517,1.43,0.429
C170100001,배추김치,R318-020000000-0000,3,굵은소금(절임용),1000736517,1.43,4.29
C170100001,배추김치,R106-053002201-0000,1,마늘(다진것),1000006845,5.68,5.68
C170100001,배추김치,R211-105034077-0000,1,멸치액젓,1000741926,1.266666667,1.266666667
C170100001,배추김치,R106-065027601-0000,6,무,1000622538,2.06,12.36
C170100001,배추김치,R106-077030001-0000,5,미나리,1000006800,8.44,42.2
C170100001,배추김치,R106-087003401-0000,40,배추,1000622543,1.89,75.6
C170100001,배추김치,R103-011020000-0000,0.5,백설탕,1000612561,1.438666667,0.719333333
C170100001,배추김치,R211-717254071-0000,1,새우젓,1000642504,28.5,28.5
C170100001,배추김치,R106-101002501-0000,0.5,생강(다진것),1000702726,16.66666667,8.333333333
C170100001,배추김치,R106-191030001-0000,1,쪽파,1000007032,11.02,11.02
A010100001,쌀밥,R101-008000301-0000,90,백미,1000119514,2.6385,237.465
B051300012,온도토리묵사발,R105-004000000-0000,95,도토리묵,1000739886,1.815,172.425
B051300012,온도토리묵사발,D315-670000000-0001,30,배추김치,1000622543,1.89,56.7
B051300012,온도토리묵사발,R210-003000001-0000,25,달걀,1000520018,4.105555556,102.6388889
B051300012,온도토리묵사발,R112-813133914-0000,0.5,김(조미한것),1000712372,68.5,34.25
B051300012,온도토리묵사발,R118-007000006-0000,2,고춧가루,1000020371,5.514705882,11.02941176
B051300012,온도토리묵사발,P112-004000400-0041,5,양조간장,1000453770,1.347692308,6.738461538
B051300012,온도토리묵사발,R106-053002201-0000,0.5,마늘,1000006845,5.68,2.84
B051300012,온도토리묵사발,R106-191030001-0000,3,쪽파,1000007032,11.02,33.06
B051300012,온도토리묵사발,P104-701030200-0002,5,올리고당,1000718891,3.7,18.5
B051300012,온도토리묵사발,R114-020000000-0000,1,참기름,1000697992,10.10555556,10.10555556
B051300012,온도토리묵사발,R105-026020058-0000,0.5,참깨,1000736517,1.43,0.715
B051300012,온도토리묵사발,R106-065027601-0000,30,무(흰부분),1000622538,2.06,61.8
B051300012,온도토리묵사발,R112-819015102-1273,2,다시마(말린것),1000704787,25.4,50.8
B051300012,온도토리묵사발,R106-191040001-0000,10,대파(육수용),1000007015,3.38,33.8
B051300012,온도토리묵사발,DB 없음,5,대파(뿌리_육수용),1000704787,25.4,127
B051300012,온도토리묵사발,R107-027007101-0000,1,표고버섯(말린것_육수용),1000007217,8.28,8.28
B051300012,온도토리묵사발,R211-105033902-0007,3,멸치(육수용),1000695996,3.695,11.085
B051300012,온도토리묵사발,R106-018080001-0000,5,청양고추,1000006550,9.07,45.35
B051300012,온도토리묵사발,R211-717074004-0000,1,새우(말린것),1000453889,4.98,4.98
B051300012,온도토리묵사발,DB 없음,200,멸치육수,1000704787,25.4,5080
C100100017,고등어데리야끼구이,R211-021014001-1198,80,고등어(생것),1000695275,5.244444444,419.5555556
C100100017,고등어데리야끼구이,R102-014010006-0000,5,감자전분,1000177074,2.495,12.475
C100100017,고등어데리야끼구이,R106-191040001-0000,5,대파,1000007015,3.38,16.9
C100100017,고등어데리야끼구이,R106-053002201-0000,5,마늘,1000006845,5.68,28.4
C100100017,고등어데리야끼구이,P104-601060100-0002,7,물엿,1000018123,2.024,14.168
C100100017,고등어데리야끼구이,P113-204020100-0003,5,미림,1000710375,4.261111111,21.30555556
C100100017,고등어데리야끼구이,P113-204020100-0003,5,미림,1000017506,1.469444444,7.347222222
C100100017,고등어데리야끼구이,R103-011020000-0000,4,백설탕,1000612561,1.438666667,5.754666667
C100100017,고등어데리야끼구이,R318-020030000-0000,0.3,소금,1000736517,1.43,0.429
C100100017,고등어데리야끼구이,R106-132000001-0000,20,양파,1000006975,2.86,57.2
C100100017,고등어데리야끼구이,P112-004000400-0041,10,진간장,1000453770,1.347692308,13.47692308
C100100017,고등어데리야끼구이,R118-041010006-0000,0.1,후춧가루,1000520223,25.51111111,2.551111111
C140300012,도라지채소튀김,R102-006150001-0000,70,고구마,1000165005,3.16,221.2
C140300012,도라지채소튀김,R106-041007601-0000,10,당근,1000006481,1.54,15.4
C140300012,도라지채소튀김,R106-044007601-0000,10,도라지,1000007300,8.83,88.3
